ID,乡镇级,Rural
851,土山镇,1
852,军城镇,1
853,长赤镇,1
854,只里乡,0
855,凌城镇,1
856,九龙口镇,1
857,饭坡镇,1
858,东双河镇,1
859,剪市镇,1
860,和店镇,1
861,观兴镇,1
862,涝洼乡,0
863,九渡河镇,1
864,灌水镇,1
865,石龙镇,1
866,新市镇,1
867,三门镇,1
868,石文镇,1
869,淤泥彝族乡,0
870,吴滩街道办事处,1
871,威远镇,1
872,阿热勒镇,1
873,巴普镇,1
874,尔合乡,0
875,安乐镇,1
876,圪廖乡,0
877,三塘镇,1
878,渡头塘镇,1
879,全茗镇,1
880,先锋乡,0
881,碱厂镇,1
882,水口镇,1
883,尹吉甫镇,1
884,冀屯镇,1
885,蔡家坡镇,1
886,云阳镇,1
887,叶大乡,0
888,石湖乡,0
889,球溪镇,1
890,迎兰朝鲜族乡,0
891,江城街道办事处,1
892,子良镇,1
893,辛庄子乡,0
894,竹林镇,1
895,店口镇,1
896,城关镇,1
897,红城乡,0
898,本号镇,1
899,赵镇,1
900,北城办事处,1
901,复兴镇,1
902,鸭暖镇,1
903,四合镇,1
904,木瓜镇,1
905,褚墩镇,1
906,陵阳镇,1
907,南阳镇,1
908,楼观镇,1
909,双流镇,1
910,梅子坪镇,1
911,池尾街道,1
912,吴小街镇,1
913,南庄镇,1
914,什川镇,1
915,昌桥乡,0
916,朝阳镇,1
917,新店子镇,1
918,岗李店乡,0
919,庵东镇,1
920,平山镇,1
921,阿尕尔森镇,1
922,祁各庄镇,1
923,龙归镇,1
924,大路槽乡,0
925,三岔河镇,1
926,姜屯镇,1
927,侯咽集镇,1
928,还地桥镇,1
929,资源镇,1
930,路河镇,1
931,大泽山镇,1
932,酉港镇,1
933,河唇镇,1
934,珠琳镇,1
935,建设镇,1
936,大桥镇,1
937,漫水湾镇,1
938,文都藏族乡,0
939,永安镇,1
940,龙都街道办事处,1
941,浒湾乡,0
942,热加乡,0
943,开封镇,1
944,山亭镇,1
945,陈店乡,0
946,牛街镇,1
947,航头镇,1
948,沙兰镇,1
949,竖岗镇,1
950,文殊乡,0
951,大悲乡,0
952,曲阳乡,0
953,乔后镇,1
954,汉宾乡,0
955,加榜乡,0
956,双龙镇,1
957,黄壁庄镇,1
958,龙茗镇,1
959,浞水镇,1
960,陈店镇,1
961,法中乡,0
962,城厢镇,1
963,杜桥镇,1
964,宁条梁镇,1
965,朝克乌拉苏木,0
966,附城街道,1
967,定南街道办事处,1
968,白头镇,1
969,安德街道办事处,1
970,升平镇,1
971,绿葱坡镇,1
972,葛坑镇,1
973,西平乐乡,0
974,迪口镇,1
975,大定堡满族乡,0
976,西岭镇,1
977,麻洋镇,1
978,黄塘镇,1
979,大屯乡,0
980,东湖乡,0
981,威州镇,1
982,五台乡,0
983,相沟镇,1
984,告成镇,1
985,湍水头镇,1
986,安仁镇,1
987,李典镇,1
988,银号镇,1
989,竹峪镇,1
990,云路镇,1
991,梨树镇,1
992,安溪镇,1
993,太平镇,1
994,尚庄街道,1
995,广东地乡,0
996,散兵镇,1
997,关家镇,1
998,高贤乡,0
999,双凤镇,1
1000,马驹桥镇,1
1001,义牒镇,1
1002,三里岗镇,1
1003,寺湾镇,1
1004,武曲镇,1
1005,鸡泽镇,1
1006,胡台镇,1
1007,苏家院镇,1
1008,上红科乡,0
1009,张家山街道,1
1010,泥柯乡,0
1011,甲茶镇,1
1012,下坳镇,1
1013,苏公坨乡,0
1014,酒店乡,0
1015,确布乡,0
1016,冷碛镇,1
1017,永茂乡,0
1018,宾亨镇,1
1019,武水镇,1
1020,阳城镇,1
1021,立山镇,1
1022,李店镇,1
1023,龙岗镇,1
1024,平山镇,1
1025,城关街道办事处,1
1026,横道河子乡,0
1027,白玉乡,0
1028,崖子镇,1
1029,郑集镇,1
1030,格里坪镇,1
1031,城阳镇,1
1032,新店乡,0
1033,阎家乡,0
1034,新庆镇,1
1035,五峰铺镇,1
1036,涂寨镇,1
1037,永宁镇,1
1038,古宜镇,1
1039,酒仙桥街道办事处,1
1040,塔西河乡,0
1041,新田镇,1
1042,罗香乡,0
1043,姚李镇,1
1044,九龙街道,1
1045,金刚镇,1
1046,久安乡,0
1047,安阳乡,0
1048,南义镇,1
1049,青溪镇,1
1050,陈家桥乡,0
1051,营江街道,1
1052,张母桥镇,1
1053,高台镇,1
1054,白兔潭镇,1
1055,三道沟镇,1
1056,三合镇,1
1057,吴圩镇,1
1058,康乐镇,1
1059,银杏街道办事处,1
1060,平坊满族乡,0
1061,万田乡,0
1062,西龙虎峪镇,1
1063,涴市镇,1
1064,张西堡镇,1
1065,王村乡,0
1066,莲洲镇,1
1067,古零镇,1
1068,坦头镇,1
1069,聂桥镇,1
1070,荫营镇,1
1071,罗联乡,0
1072,北郭乡,0
1073,焦岱镇,1
1074,歇马镇,1
1075,西寨镇,1
1076,红窑镇,1
1077,港沟街道办事处,1
1078,培英街道办事处,1
1079,乌吉热克乡,0
1080,武德乡,0
1081,马蹄藏族乡,0
1082,陈营镇,1
1083,庙岗乡,0
1084,白桑乡,0
1085,内步乡,0
1086,振兴乡,0
1087,石牛江镇,1
1088,中畈乡,0
1089,杜康镇,1
1090,溪翁庄镇,1
1091,后坪镇,1
1092,乳山口镇,1
1093,勃利镇,1
1094,东海镇,1
1095,库尔特乡,0
1096,西虢镇,1
1097,寒冻镇,1
1098,坪石镇,1
1099,龙布镇,1
1100,金洲镇,1
1101,东兴镇,1
1102,补浪河乡,0
1103,普济镇,1
1104,郭家坝镇,1
1105,平寨乡,0
1106,海安镇,1
1107,水晶镇,1
1108,黄荆乡,0
1109,三江镇,1
1110,王化镇,1
1111,宋集镇,1
1112,牛背山镇,1
1113,泮水乡,0
1114,新苏莫苏木,0
1115,清流镇,1
1116,七角井镇,1
1117,石塘镇,1
1118,昂武镇,1
1119,郭家窑乡,0
1120,李村镇,1
1121,徐家镇,1
1122,路井镇,1
1123,朔里镇,1
1124,邓油坊镇,1
1125,盐井镇,1
1126,巴洞镇,1
1127,合市镇,1
1128,崔各庄地区办事处,1
1129,新镇镇,1
1130,花滩镇,1
1131,王家坝镇,1
1132,石南镇,1
1133,马回岭镇,1
1134,果园乡,0
1135,桃村镇,1
1136,西山瑶族乡,0
1137,金砂乡,0
1138,墩麻扎镇,1
1139,社港镇,1
1140,色须镇,1
1141,万安镇,1
1142,郝王庄镇,1
1143,甘孜镇,1
1144,卡堆乡,0
1145,段家镇,1
1146,永安路街道办事处,1
1147,南排河镇,1
1148,凤鸣镇,1
1149,木瓜镇,1
1150,半城镇,1
1151,长街镇,1
1152,华堡镇,1
1153,田心镇,1
1154,大树乡,0
1155,朝阳地镇,1
1156,鲤南镇,1
1157,黄溪口镇,1
1158,王营乡,0
1159,太芝庙镇,1
1160,俄热乡,0
1161,济阳镇,1
1162,吴山镇,1
1163,桥亭镇,1
1164,西潘乡,0
1165,吕河乡,0
1166,俄扎乡,0
1167,升水镇,1
1168,卡伦湖街道办事处,1
1169,上桥镇,1
1170,巴邱镇,1
1171,梅李镇,1
1172,萨木于孜镇,1
1173,靳村乡,0
1174,沙河镇,1
1175,闫家镇,1
1176,努日木镇,1
1177,安定镇,1
1178,阳坪乡,0
1179,马圈堡乡,0
1180,康雄乡,0
1181,华来镇,1
1182,贾庄镇,1
1183,措果乡,0
1184,东棘坨镇,1
1185,河潭镇,1
1186,单桥镇,1
1187,大隗镇,1
1188,颍桥回族镇,1
1189,新市镇,1
1190,双丰镇,1
1191,韩公渡镇,1
1192,王格庄镇,1
1193,城关镇,1
1194,昂素镇,1
1195,方台镇,1
1196,九龙镇,1
1197,田坝桥镇,1
1198,沙窝镇,1
1199,仙居乡,0
1200,利店镇,1
1201,石河镇,1
1202,沿河镇,1
1203,五德镇,1
1204,扎拖乡,0
1205,王村乡,0
1206,下马圈乡,0
1207,兴仁镇,1
1208,朱阁镇,1
1209,崖门镇,1
1210,背荫河镇,1
1211,二程镇,1
1212,笔架山乡,0
1213,敖勒召其镇,1
1214,乌兰哈达乡,0
1215,十八里镇,1
1216,府谷镇,1
1217,奉科镇,1
1218,大汾镇,1
1219,马鞍镇,1
1220,城南镇,1
1221,干沟乡,0
1222,九都乡,0
1223,播扬镇,1
1224,孚玉镇,1
1225,堆沟港镇,1
1226,龙泉街道办事处,1
1227,新宁镇,1
1228,素珠营子乡,0
1229,勐梭镇,1
1230,仁风镇,1
1231,太师屯镇,1
1232,黄石镇,1
1233,桥家河乡,0
1234,昆嵛镇,1
1235,汤河镇,1
1236,竹竿镇,1
1237,集益乡,0
1238,根德营子乡,0
1239,同兴镇,1
1240,双岗镇,1
1241,江源镇,1
1242,甲山镇,1
1243,六华镇,1
1244,马振抚镇,1
1245,黄岗镇,1
1246,砚台镇,1
1247,台头镇,1
1248,深泽镇,1
1249,正平镇,1
1250,大滩乡,0
1251,禾丰镇,1
1252,礼和乡,0
1253,观音镇,1
1254,团泊镇,1
1255,巷子口镇,1
1256,丹朱镇,1
1257,江格勒斯乡,0
1258,罗陈乡,0
1259,城关街道办事处,1
1260,博拉镇,1
1261,沙营镇,1
1262,凉亭镇,1
1263,岿美山镇,1
1264,朱湾镇,1
1265,普立乡,0
1266,榆关镇,1
1267,谢村镇,1
1268,平明镇,1
1269,彭桥乡,0
1270,金屋塘镇,1
1271,黄沙镇,1
1272,茨竹镇,1
1273,东郊乡,0
1274,大若岩镇,1
1275,虎牙藏族乡,0
1276,力洋镇,1
1277,马庙镇,1
1278,澄江镇,1
1279,张台子镇,1
1280,金沙镇,1
1281,清凉山镇,1
1282,大风洞镇,1
1283,二十里店镇,1
1284,白帽镇,1
1285,留光镇,1
1286,兴仁镇,1
1287,郑庵镇,1
1288,虞山街道,1
1289,花桥乡,0
1290,青罕镇,1
