FID,省级,市级,市代码,区县级,区县码,乡镇级,乡镇码,省代码
10651,广西壮族自治区,梧州市,4.504E+11,长洲区,4.50405E+11,大塘街道办事处,4.50405E+11,450000
10652,甘肃省,甘南藏族自治州,6.23E+11,舟曲县,6.23023E+11,拱坝乡,6.23023E+11,620000
10653,福建省,南平市,3.507E+11,顺昌县,3.50721E+11,洋墩乡,3.50721E+11,350000
10654,江苏省,连云港市,3.207E+11,灌云县,3.20723E+11,杨集镇,3.20723E+11,320000
10655,江西省,萍乡市,3.603E+11,芦溪县,3.60323E+11,源南乡,3.60323E+11,360000
10656,陕西省,榆林市,6.108E+11,神木市,6.10881E+11,花石崖镇,6.10881E+11,610000
10657,浙江省,杭州市,3.301E+11,江干区,3.30104E+11,采荷街道,3.30104E+11,330000
10658,湖北省,随州市,4.213E+11,广水市,4.21381E+11,骆店镇,4.21381E+11,420000
10659,湖北省,黄石市,4.202E+11,大冶市,4.20281E+11,金湖街道办事处,4.20281E+11,420000
10660,山西省,忻州市,1.409E+11,忻府区,1.40902E+11,豆罗镇,1.40902E+11,140000
10661,贵州省,贵阳市,5.201E+11,南明区,5.20102E+11,沙冲社区服务中心,5.20102E+11,520000
10662,四川省,宜宾市,5.115E+11,翠屏区,5.11502E+11,李庄镇,5.11502E+11,510000
10663,广东省,揭阳市,4.452E+11,榕城区,4.45202E+11,榕华街道办事处,4.45202E+11,440000
10664,江西省,上饶市,3.611E+11,德兴市,3.61181E+11,海口镇,3.61181E+11,360000
10665,江苏省,苏州市,3.205E+11,虎丘区,3.20505E+11,横塘街道,3.20505E+11,320000
10666,浙江省,温州市,3.303E+11,永嘉县,3.30324E+11,正江山林场,3.30324E+11,330000
10667,西藏自治区,昌都市,5.403E+11,边坝县,5.4033E+11,马秀乡,5.4033E+11,540000
10668,四川省,成都市,5.101E+11,锦江区,5.10104E+11,狮子山街道办事处,5.10104E+11,510000
10669,广东省,清远市,4.418E+11,阳山县,4.41823E+11,小江镇,4.41823E+11,440000
10670,甘肃省,陇南市,6.212E+11,康县,6.21224E+11,望关镇,6.21224E+11,620000
10671,云南省,昆明市,5.301E+11,官渡区,5.30111E+11,昆明经济技术开发区,5.30111E+11,530000
10672,河北省,唐山市,1.302E+11,路北区,1.30203E+11,河北路街道办事处,1.30203E+11,130000
10673,云南省,文山壮族苗族自治州,5.326E+11,西畴县,5.32623E+11,莲花塘乡,5.32623E+11,530000
10674,四川省,资阳市,5.12E+11,乐至县,5.12022E+11,东山镇,5.12022E+11,510000
10675,河南省,商丘市,4.114E+11,睢县,4.11422E+11,后台乡,4.11422E+11,410000
10676,四川省,成都市,5.101E+11,新都区,5.10114E+11,新繁镇,5.10114E+11,510000
10677,浙江省,温州市,3.303E+11,瑞安市,3.30381E+11,仙降街道,3.30381E+11,330000
10678,江西省,上饶市,3.611E+11,婺源县,3.6113E+11,大鄣山乡,3.6113E+11,360000
